 Fe Density=7.874
 Energy(eV), Delta, Beta
  26485.8008  2.1896617E-06  3.26125473E-08
  26855.  2.12950499E-06  3.09047117E-08
  27229.3438  2.07100129E-06  2.9286074E-08
  27608.9062  2.01411081E-06  2.77519803E-08
  27993.7598  1.95878351E-06  2.62981565E-08
  28383.9766  1.9049761E-06  2.49205154E-08
  28779.6348  1.85264651E-06  2.36150388E-08
  29180.8066  1.80175653E-06  2.23779608E-08
  29587.5723  1.75226796E-06  2.12057234E-08
  30000.0059  1.70413898E-06  2.00950581E-08
